prefix	key	offset
Пожалуйста подождите	0xa9cbb3f5112bfd7b	0x859e50
Пожалуйста подождите	0x3bf5c503ff4131cb	0x85a1b8
Установка завершена	0x2d6f036d75d789f1	0x858290
Установка завершена	0xa5cd0bf3e36f4743	0x859b68
Установка завершена	0x0133e303bded29ab	0x85a0e8
Невозможно открыть	0xef3dd5d1998f25b3	0x8575f0
Невозможно открыть	0x55f5332189f12dcf	0x857870
Невозможно открыть	0xe7e7dd2503bd2101	0x857ed8
Невозможно открыть	0x9d6d6b99238f271d	0x858c58
Невозможно открыть	0x85654fddffad496d	0x85b028
Информация о игре	0xedcbf77947cfdb3b	0x8598a0
Информация о игре	0xb7695b379fe16363	0x85a460
Информация о игре	0xc98b433b154591f5	0x85a4c0
Информация о игре	0x29f5832bb1159713	0x85a4f0
Информация о игре	0x05a1859fc91faf51	0x85abb0
Информация о игре	0xdd05515d8525233f	0x85b060
Восстановление	0x9f15c9a33b2d0d6f	0x857d68
пользователем	0x359db5addd912dc7	0x8588c8
пользователем	0x3799a7dddf672383	0x858a40
Установлено	0x5dbb5b1fd1039357	0x859e18
Установлено	0x2b930f0907032f49	0x85a3e8
Установлено	0x55dd8d8151775bd1	0x85a8e0
установлено	0x27431775e57f7561	0x857698
установлено	0xd9d533e11d35396b	0x858050
установлено	0x976d2bef15ab878b	0x858140
установлено	0x27f7138bffa95701	0x859ba0
установлено	0x4f8d2f81233f73d1	0x900070
приложения	0xa77961a76da12f81	0x85aa78
сохранения	0x0725656b8bef4335	0x8575a8
сохранения	0x0d1bdda5336f5767	0x857cb8
сохранения	0x79ff0da3dd09998d	0x857cf0
сохранения	0xafc169edd9a3b993	0x857d20
сохранения	0x43d3b5832dc1097b	0x858a88
сохранения	0x09e75581e37f113d	0x8589f8
сохранения	0xc5850165ebd17bf3	0x858aa0
сохранения	0x6d3dbdc77fcb45c5	0x858ae0
сохранения	0x1dff35238dcb6965	0x858c98
сохранения	0x7fd7196df1db7f3d	0x85a260
сохранения	0xcd658f89072f5d47	0x85a318
устройство	0xedbf0d572d3bf945	0x857d08
Выключить	0x839b39bdc14f89d9	0x85a010
Завершено	0xdb338d1929fdc993	0x85aac8
Загружено	0x93dbcbd9e7bbf973	0x85ace8
Настройки	0x05078773b707319b	0x85a180
Не найдено	0xc9ad0f9f8dd9addd	0x859ca0
Получение	0x05ad79a95dcda55b	0x8589e0
Получение	0x53db7b698d4dcf8b	0x8596f8
Сохранено	0xed030bf9afedd19d	0x858ac8
не удалось	0xc9c379c7b76d8db5	0x858d20
программе	0x65d9f51b2be54da7	0x85b280
Загрузка	0x0dc505f513f12d2d	0x859f38
Проверка	0xefc9f7495d2fc567	0x859938
Проверка	0x6bbda3b733f199cf	0x85a230
Просмотр	0xc367335909bdbb4b	0x858fa8
Просмотр	0xa989514905cf638f	0x859bb0
Свободно	0xabe1412985df8513	0x858c28
Удаление	0x998521a5b12781c5	0x857790
Удаление	0x8761cdb90f0323f9	0x857850
Удаление	0x2921abad29c94559	0x858018
Удаление	0x4bd12f5955f57de5	0x858218
Удаление	0xf79b4d9d8f817f73	0x858a60
Удаление	0x298f5f038fbd5d53	0x85a2a0
Удаление	0x331b85efd39b2b67	0x85a2c8
Удаление	0x536bcb5581734b61	0x85a870
Удаление	0xed69a159559f51bd	0x85ab90
аргумент	0x872deb877559312b	0x85b0b0
значение	0x15697f77f729ab49	0x85baa0
значение	0x69e7c3df9353fb03	0x85a550
параметр	0x879b751539874163	0x85a5a8
посылаем	0xb5235d29a90b1715	0x858c18
привязки	0x559909ffd3d3b7ff	0x858d40
прошивка	0x81131375f7931323	0x8fd5a8
прошивки	0xf9f103f1d567cf0d	0x85aaf8
Найдено	0x27d1e363737fbba9	0x8575d0
альбома	0x311d53736f8f7df5	0x8f75a8
батареи	0x430f45253b210f4f	0x8fd680
файла	0xb5235d29a90b1715	0x858c20
игры	0xb515639d1f513507	0x8fbbe0
тока	0xffa3c751f96745bb	0x8fd710
